partID,dyadID,sentence,stem,target,kat_score,katscore2,notes
38,13,4,Sam read the newspaper,outloud.,3,3,
38,13,5,Jenny went home to cook dinner,for her family.,5,5,
38,13,6,Katherine baby-sat the neighbor's kids,this weekend.,3,3,
38,13,7,Tom bottle fed the baby,this morning.,3,3,
38,13,8,Bert changed the oil,last week.,3,3,
39,13,1,Linda swatted at the flies,because they were trying to eat her lunch.,3,3,
39,13,2,Helen crammed for the test,because she had no time to study earlier in the week.,2,3,
39,13,3,Shirley asked for help getting home,because she has trouble walking long distances.,2,2,
39,13,4,Sam read the newspaper,everyday at breakfast.,3,3,
39,13,5,Jenny went home to cook dinner,for herself after a long day.,1,2,
39,13,6,Katherine baby-sat the neighbor's kids,in order to buy her sister a present.,2,2,
39,13,7,Tom bottle fed the baby,because the baby was hungry.,3,3,
39,13,8,Bert changed the oil,in his car because it was low.,4,4,
40,14,1,Linda swatted at the flies,in hopes they would leave her alone.,3,3,
40,14,2,Helen crammed for the test,the previous night.,3,3,
40,14,3,Shirley asked for help getting home,to avoid walking in the rain.,2,2,
40,14,4,Sam read the newspaper,to find out who won the soccer game.,3,3,
40,14,5,Jenny went home to cook dinner,for him and his family.,2,2,"if the reader is reading jenny as a man then this has a low sexism score, but if not then it's high? i can't quite tell"
40,14,6,Katherine baby-sat the neighbor's kids,for a few hours last Thursday.,3,3,
40,14,7,Tom bottle fed the baby,after he got home from work.,4,5,
40,14,8,Bert changed the oil,of his car in the driveway.,4,4,
41,14,1,Linda swatted at the flies,quickly.,3,3,
41,14,2,Helen crammed for the test,she had the next day.,3,3,
41,14,3,Shirley asked for help getting home,from the subway.,3,3,
41,14,4,Sam read the newspaper,quietly.,3,3,
41,14,5,Jenny went home to cook dinner,for her family.,5,5,
41,14,6,Katherine baby-sat the neighbor's kids,for three hours.,3,3,
41,14,7,Tom bottle fed the baby,when it woke up from its nap.,3,3,
41,14,8,Bert changed the oil,in the car.,4,4,
42,15,1,Linda swatted at the flies,with her newspaper.,3,3,
42,15,2,Helen crammed for the test,three hours before the exam start time.,3,3,
42,15,3,Shirley asked for help getting home,by calling her bestfriend Justin on her phone.,4,2,
42,15,4,Sam read the newspaper,headline in utter disbelief.,3,3,
42,15,5,Jenny went home to cook dinner,for her and her seven cats.,4,5,I truly can't tell if this is rebutting or confirming stereotypes
42,15,6,Katherine baby-sat the neighbor's kids,the same night as her prom.,4,4,
42,15,7,Tom bottle fed the baby,until the baby fell asleep in his arms.,3,2,
42,15,8,Bert changed the oil,of his pre-owned motorcycle.,4,4,
43,15,1,Linda swatted at the flies,in frustration,3,2,
43,15,2,Helen crammed for the test,while sitting on her bed,3,3,
43,15,3,Shirley asked for help getting home,from the party,3,3,
43,15,4,Sam read the newspaper,as she drank a cold latte,3,3,
43,15,5,Jenny went home to cook dinner,for her mom,4,4,
43,15,6,Katherine baby-sat the neighbor's kids,for too long,3,3,
43,15,7,Tom bottle fed the baby,by accident,5,5,
43,15,8,Bert changed the oil,in the truck,4,5,
46,17,1,Linda swatted at the flies,violently,3,2,
46,17,2,Helen crammed for the test,diligently,3,3,
46,17,3,Shirley asked for help getting home,safely,3,4,
46,17,4,Sam read the newspaper,thoroughly,3,3,
46,17,5,Jenny went home to cook dinner,rapidly,3,3,
46,17,6,Katherine baby-sat the neighbor's kids,happily,3,4,
46,17,7,Tom bottle fed the baby,calmly,3,3,
46,17,8,Bert changed the oil,fast,3,3,
47,17,1,Linda swatted at the flies,angrily,3,2,
47,17,2,Helen crammed for the test,quickly,3,3,
47,17,3,Shirley asked for help getting home,correctly,3,5,
47,17,4,Sam read the newspaper,slowly,3,3,
47,17,5,Jenny went home to cook dinner,happily,4,4,
47,17,6,Katherine baby-sat the neighbor's kids,excitedly,4,4,
47,17,7,Tom bottle fed the baby,carefully,4,2,
47,17,8,Bert changed the oil,messily,3,4,
49,18,1,Linda swatted at the flies,because she was irritated by them.,3,4,
49,18,2,Helen crammed for the test,since she didn't study over the weekend.,3,3,
49,18,3,Shirley asked for help getting home,because she didn't have a car.,4,3,
49,18,4,Sam read the newspaper,for his own enjoyment.,3,3,
49,18,5,Jenny went home to cook dinner,for herself and her family.,4,5,
49,18,6,Katherine baby-sat the neighbor's kids,because she needed money.,2,2,
49,18,7,Tom bottle fed the baby,to stop it from crying.,3,3,
49,18,8,Bert changed the oil,because the oil level was low.,3,3,
50,18,1,Linda swatted at the flies,to keep them away from her face.,3,3,
50,18,2,Helen crammed for the test,even though she studied for a week.,4,3,
50,18,3,Shirley asked for help getting home,after the baseball game.,1,2,
50,18,4,Sam read the newspaper,every morning with breakfast.,3,3,
50,18,5,Jenny went home to cook dinner,after she finished her work.,2,2,
50,18,6,Katherine baby-sat the neighbor's kids,every Wednesday night.,3,4,
50,18,7,Tom bottle fed the baby,before he put the baby to sleep.,3,2,
50,18,8,Bert changed the oil,in his car.,4,4,
51,19,1,Linda swatted at the flies,that landed on her food,3,3,
51,19,2,Helen crammed for the test,the day of the exam,3,3,
51,19,3,Shirley asked for help getting home,from the library,3,4,
51,19,4,Sam read the newspaper,twice each week,3,3,
51,19,5,Jenny went home to cook dinner,for her family,5,5,
51,19,6,Katherine baby-sat the neighbor's kids,who also enjoyed her company,4,3,
51,19,7,Tom bottle fed the baby,who seemed hungry,3,3,
51,19,8,Bert changed the oil,in his motorcycle,4,5,
52,19,1,Linda swatted at the flies,dismissively,3,2,
52,19,2,Helen crammed for the test,anxiously,4,4,
52,19,3,Shirley asked for help getting home,", hoping someone would help",4,4,
52,19,4,Sam read the newspaper,comfortably,3,3,
52,19,5,Jenny went home to cook dinner,happily,4,4,
52,19,6,Katherine baby-sat the neighbor's kids,"for the night, playing video games with oldest child.",2,1,
52,19,7,Tom bottle fed the baby,carefully,3,2,
52,19,8,Bert changed the oil,in his car every day.,4,4,
53,20,1,Linda swatted at the flies,with a flyswatter.,3,3,
53,20,2,Helen crammed for the test,all night long.,3,3,
53,20,3,Shirley asked for help getting home,from a friend.,2,2,
53,20,4,Sam read the newspaper,while he ate breakfast.,3,3,
53,20,5,Jenny went home to cook dinner,with her room-mate.,2,2,
53,20,6,Katherine baby-sat the neighbor's kids,over the weekend.,3,3,
53,20,7,Tom bottle fed the baby,when she started to cry.,3,3,
53,20,8,Bert changed the oil,in his car.,4,4,
54,20,1,Linda swatted at the flies,and the flies flew away.,3,3,
54,20,2,Helen crammed for the test,", regretting why she didn't start reviewing earlier.",3,3,
54,20,3,Shirley asked for help getting home,because she got lost.,5,5,
54,20,4,Sam read the newspaper,and found out the tragedy in Las Vegas,3,3,
54,20,5,Jenny went home to cook dinner,for herself.,1,1,
54,20,6,Katherine baby-sat the neighbor's kids,because the kids' parents were not at home.,3,3,
54,20,7,Tom bottle fed the baby,", and the baby fell asleep after being fed.",3,3,
54,20,8,Bert changed the oil,to the more healthy one.,2,2,
56,21,1,Linda swatted at the flies,for 20 minutes before going inside/,3,3,
56,21,2,Helen crammed for the test,and was increasingly nervous about the impending exam.,3,4,
56,21,3,Shirley asked for help getting home,from her appointment with the eye doctor.,3,3,
56,21,4,Sam read the newspaper,until his coffee was ready.,3,3,
56,21,5,Jenny went home to cook dinner,", even though she could barely cook.",1,1,
56,21,6,Katherine baby-sat the neighbor's kids,for 8 hours last night.,3,3,
56,21,7,Tom bottle fed the baby,until the baby became sleepy.,3,3,
56,21,8,Bert changed the oil,on his tractor.,4,5,
57,21,1,Linda swatted at the flies,to get them away from her face.,3,3,
57,21,2,Helen crammed for the test,to do well tomorrow.,3,3,
57,21,3,Shirley asked for help getting home,because they were lost.,3,3,
57,21,4,Sam read the newspaper,to know what happened yesterday.,3,3,
57,21,5,Jenny went home to cook dinner,for her family.,5,5,
57,21,6,Katherine baby-sat the neighbor's kids,for money.,3,2,
57,21,7,Tom bottle fed the baby,milk.,3,3,
57,21,8,Bert changed the oil,in his car.,4,4,
58,22,1,Linda swatted at the flies,in front of her face,3,3,
58,22,2,Helen crammed for the test,scheduled for the following day,3,3,
58,22,3,Shirley asked for help getting home,from a doctor's appointment,3,3,
58,22,4,Sam read the newspaper,alone in her kitchen,2,2,
58,22,5,Jenny went home to cook dinner,for herself,1,1,
58,22,6,Katherine baby-sat the neighbor's kids,so the parents could go to a movie,3,3,
58,22,7,Tom bottle fed the baby,while his mother was at work,1,5,
58,22,8,Bert changed the oil,in his garage,3,5,
59,22,1,Linda swatted at the flies,angrily.,3,2,
59,22,2,Helen crammed for the test,biology,3,,
59,22,3,Shirley asked for help getting home,from the policeman for,3,,
59,22,4,Sam read the newspaper,loudly.,3,3,
59,22,5,Jenny went home to cook dinner,a scrumptious,3,,
59,22,6,Katherine baby-sat the neighbor's kids,green street,3,,
59,22,7,Tom bottle fed the baby,gently.,3,2,
59,22,8,Bert changed the oil,of my car.,4,5,
60,23,1,Linda swatted at the flies,to get them out the house.,3,3,
60,23,2,Helen crammed for the test,because she forgot to study three days in advance like she usually does.,3,4,
60,23,3,Shirley asked for help getting home,because she was unaware of her surroundings.,4,4,
60,23,4,Sam read the newspaper,even though he hated reading.,3,4,
60,23,5,Jenny went home to cook dinner,for her two lovely children.,5,5,
60,23,6,Katherine baby-sat the neighbor's kids,"so she can make some extra, money to go to the party on Saturday.",2,2,
60,23,7,Tom bottle fed the baby,the milk.,3,3,
60,23,8,Bert changed the oil,on the car.,4,4,
61,23,1,Linda swatted at the flies,as they buzzed through the room.,3,3,
61,23,2,Helen crammed for the test,the night before the test.,3,3,
61,23,3,Shirley asked for help getting home,because her car broke down.,2,2,
61,23,4,Sam read the newspaper,to look for job openings.,3,2,
61,23,5,Jenny went home to cook dinner,for her family.,5,5,
61,23,6,Katherine baby-sat the neighbor's kids,as she need some extra cash to pay for the concert tickets.,2,2,
61,23,7,Tom bottle fed the baby,as there was no one else there to do it.,5,5,
61,23,8,Bert changed the oil,of his motorbike,4,5,
65,24,1,Linda swatted at the flies,which were annoying.,3,3,
65,24,2,Helen crammed for the test,which she did well.,3,3,
65,24,3,Shirley asked for help getting home,in exchange for buying a lunch.,3,3,
65,24,4,Sam read the newspaper,which was about sports.,3,2,what gender are they reading sam as?
65,24,5,Jenny went home to cook dinner,for her family.,5,5,
65,24,6,Katherine baby-sat the neighbor's kids,who are two and five year old.,3,3,
65,24,7,Tom bottle fed the baby,who was crying.,3,3,
65,24,8,Bert changed the oil,which was running out.,3,3,
66,24,1,Linda swatted at the flies,quietly,3,4,
66,24,2,Helen crammed for the test,for 3 nights in a row,3,3,
66,24,3,Shirley asked for help getting home,in midnight,3,2,
66,24,4,Sam read the newspaper,to find that there was an accident nearby,3,3,
66,24,5,Jenny went home to cook dinner,for her family,5,5,
66,24,6,Katherine baby-sat the neighbor's kids,to earn extra money for her vacation,2,2,
66,24,7,Tom bottle fed the baby,of his aunt this morning,2,5,
66,24,8,Bert changed the oil,to get prepared for the long trip,3,4,
69,25,1,Linda swatted at the flies,of henry viii,3,3,
69,25,2,Helen crammed for the test,psychology,3,3,
69,25,3,Shirley asked for help getting home,from a stranger,3,5,
69,25,4,Sam read the newspaper,on sofa,3,3,
69,25,5,Jenny went home to cook dinner,of traditional stle,3,4,
69,25,6,Katherine baby-sat the neighbor's kids,to get payed,2,2,
69,25,7,Tom bottle fed the baby,by himself,2,2,
69,25,8,Bert changed the oil,of his car,4,4,
70,25,1,Linda swatted at the flies,angrily,3,2,
70,25,2,Helen crammed for the test,so she is upset,4,4,
70,25,3,Shirley asked for help getting home,because she was lost,4,4,
70,25,4,Sam read the newspaper,in the morning,3,3,
70,25,5,Jenny went home to cook dinner,every day,3,4,
70,25,6,Katherine baby-sat the neighbor's kids,and she was excited,3,4,
70,25,7,Tom bottle fed the baby,and he messed up,5,5,
70,25,8,Bert changed the oil,but he didn't know why,2,3,
71,26,1,Linda swatted at the flies,on the walls madly,4,4,
71,26,2,Helen crammed for the test,anxiously,3,4,
71,26,3,Shirley asked for help getting home,from a cashier in a convenience store,3,3,
71,26,4,Sam read the newspaper,while sipping his coffee,3,3,
71,26,5,Jenny went home to cook dinner,after a long day at work,2,2,
71,26,6,Katherine baby-sat the neighbor's kids,and made sure they went to bed early,3,3,
71,26,7,Tom bottle fed the baby,lovingly,2,1,
71,26,8,Bert changed the oil,with ease,5,4,
72,26,1,Linda swatted at the flies,to get them out of her face.,3,3,
72,26,2,Helen crammed for the test,so she could get an A.,3,3,
72,26,3,Shirley asked for help getting home,because she did not know the area well.,4,2,
72,26,4,Sam read the newspaper,on the toilet.,3,3,
72,26,5,Jenny went home to cook dinner,for her family.,5,5,
72,26,6,Katherine baby-sat the neighbor's kids,so she could earn money.,2,2,
72,26,7,Tom bottle fed the baby,because his wife was sleeping.,5,5,
72,26,8,Bert changed the oil,in his car.,4,4,
73,27,1,Linda swatted at the flies,with a newspaper.,3,3,
73,27,2,Helen crammed for the test,", hoping it would help raise her grade.",3,3,
73,27,3,Shirley asked for help getting home,from the party.,3,3,
73,27,4,Sam read the newspaper,and drank their coffee.,3,2,
73,27,5,Jenny went home to cook dinner,for her housemates.,2,2,
73,27,6,Katherine baby-sat the neighbor's kids,on Friday.,3,3,
73,27,7,Tom bottle fed the baby,and swayed back and forth.,3,2,
73,27,8,Bert changed the oil,in his car.,3,4,
74,27,1,Linda swatted at the flies,that appeared when she picked up a fruit.,3,3,
74,27,2,Helen crammed for the test,and passed with the score of a B.,3,3,
74,27,3,Shirley asked for help getting home,",and got home safely.",3,2,
74,27,4,Sam read the newspaper,and took interest in an article about shelter dogs.,3,3,
74,27,5,Jenny went home to cook dinner,but realized she forgot an ingredient so she had to compromise.,3,3,
74,27,6,Katherine baby-sat the neighbor's kids,and had a great time.,4,4,
74,27,7,Tom bottle fed the baby,and the baby stopped crying.,3,3,
74,27,8,Bert changed the oil,but the engine light was still on.,3,4,
75,28,1,Linda swatted at the flies,because they frustrated her.,3,2,
75,28,2,Helen crammed for the test,because she was unsure of the material.,4,5,
75,28,3,Shirley asked for help getting home,because she wasn't feeling well.,3,2,
75,28,4,Sam read the newspaper,at breakfast every morning.,3,3,
75,28,5,Jenny went home to cook dinner,for herself after work.,1,1,
75,28,6,Katherine baby-sat the neighbor's kids,after school.,3,3,
75,28,7,Tom bottle fed the baby,attentively.,3,2,
75,28,8,Bert changed the oil,in his car.,4,4,
76,28,1,Linda swatted at the flies,and fell.,4,4,
76,28,2,Helen crammed for the test,and felt tired.,3,3,
76,28,3,Shirley asked for help getting home,and got lost.,4,5,
76,28,4,Sam read the newspaper,during the morning.,3,3,
76,28,5,Jenny went home to cook dinner,for her little sister.,3,4,???
76,28,6,Katherine baby-sat the neighbor's kids,during the evening.,3,3,
76,28,7,Tom bottle fed the baby,with warm milk.,3,3,
76,28,8,Bert changed the oil,of the car's engine.,4,4,
77,29,1,Linda swatted at the flies,that were swarming over her cake.,3,3,
77,29,2,Helen crammed for the test,that she had in an hour.,3,3,
77,29,3,Shirley asked for help getting home,", as she didn't recognize her surroundings.",4,2,
77,29,4,Sam read the newspaper,"as Helen, next to him, crammed for her upcoming test.",3,3,
77,29,5,Jenny went home to cook dinner,", and she hoped she would have time to finish before her friends arrived.",2,2,
77,29,6,Katherine baby-sat the neighbor's kids,", though she had sworn she never would again.",3,1,
77,29,7,Tom bottle fed the baby,because he did not have boobs of his own.,4,3,
77,29,8,Bert changed the oil,in his brother's car.,4,4,
78,29,1,Linda swatted at the flies,buzzing around her head.,3,3,
78,29,2,Helen crammed for the test,she had tomorrow.,3,3,
78,29,3,Shirley asked for help getting home,from her friend at the party.,3,2,
78,29,4,Sam read the newspaper,every morning.,3,3,
78,29,5,Jenny went home to cook dinner,every night for her family.,5,5,
78,29,6,Katherine baby-sat the neighbor's kids,on every other Tuesday.,3,3,
78,29,7,Tom bottle fed the baby,carefully.,2,2,
78,29,8,Bert changed the oil,routinely.,4,5,
79,30,1,Linda swatted at the flies,in order to get them out of the kitchen.,3,3,
79,30,2,Helen crammed for the test,because she waited until the last minute to study.,3,3,
79,30,3,Shirley asked for help getting home,because she did not understand the bus schedule.,4,4,
79,30,4,Sam read the newspaper,to catch up on current events.,3,3,
79,30,5,Jenny went home to cook dinner,for her family.,5,5,
79,30,6,Katherine baby-sat the neighbor's kids,because she enjoys helping out.,4,5,
79,30,7,Tom bottle fed the baby,3 times a day.,1,1,
79,30,8,Bert changed the oil,because his car was not functioning properly.,3,4,
80,30,1,Linda swatted at the flies,intensively,3,2,
80,30,2,Helen crammed for the test,one night before the test day,3,3,
80,30,3,Shirley asked for help getting home,from California,3,3,
80,30,4,Sam read the newspaper,and fall asleep,3,3,
80,30,5,Jenny went home to cook dinner,and she loved it,5,5,
80,30,6,Katherine baby-sat the neighbor's kids,for two days in a row,3,3,
80,30,7,Tom bottle fed the baby,when the baby fall asleep,3,3,
80,30,8,Bert changed the oil,of her car,1,4,
82,31,1,Linda swatted at the flies,with a newspaper.,3,3,
82,31,1,Linda swatted at the flies,so she could eat her pie.,3,3,
82,31,2,Helen crammed for the test,the night before.,3,3,
82,31,2,Helen crammed for the test,for 5 hours straight.,3,3,
82,31,3,Shirley asked for help getting home,from a party.,3,3,
82,31,3,Shirley asked for help getting home,from school.,3,3,
82,31,4,Sam read the newspaper,every morning.,3,3,
82,31,4,Sam read the newspaper,with his mom.,3,2,
82,31,5,Jenny went home to cook dinner,after a long day.,3,2,
82,31,5,Jenny went home to cook dinner,after hanging out with some friends.,3,2,
82,31,6,Katherine baby-sat the neighbor's kids,on a Saturday night.,4,3,
82,31,6,Katherine baby-sat the neighbor's kids,every other day.,4,4,
82,31,7,Tom bottle fed the baby,when his mother was busy.,5,5,
82,31,7,Tom bottle fed the baby,until it was full.,3,3,
82,31,8,Bert changed the oil,of the car.,4,4,
82,31,8,Bert changed the oil,of the car.,4,4,
