"partID","dyadID","sentence","stem","target"
36,12,3,"Shirley asked for help getting home","because she was feeling dizzy"
36,12,4,"Sam read the newspaper","multiple times"
36,12,5,"Jenny went home to cook dinner"," for her family"
36,12,6,"Katherine baby-sat the neighbor's kids","for a day"
36,12,7,"Tom bottle fed the baby","last night"
36,12,8,"Bert changed the oil","because it was very dark"
37,12,1,"Linda swatted at the flies","furiously."
37,12,2,"Helen crammed for the test","all night long."
37,12,3,"Shirley asked for help getting home","from the supermarket."
37,12,4,"Sam read the newspaper","silently."
37,12,5,"Jenny went home to cook dinner","for her family."
37,12,6,"Katherine baby-sat the neighbor's kids","over the weekend."
37,12,7,"Tom bottle fed the baby","until it fell asleep."
37,12,8,"Bert changed the oil","for his car."
38,13,1,"Linda swatted at the flies","with her hands."
38,13,2,"Helen crammed for the test","last night."
38,13,3,"Shirley asked for help getting home","from school."
38,13,4,"Sam read the newspaper","outloud."
38,13,5,"Jenny went home to cook dinner","for her family."
38,13,6,"Katherine baby-sat the neighbor's kids","this weekend."
38,13,7,"Tom bottle fed the baby","this morning."
38,13,8,"Bert changed the oil","last week."
39,13,1,"Linda swatted at the flies","because they were trying to eat her lunch."
39,13,2,"Helen crammed for the test","because she had no time to study earlier in the week."
39,13,3,"Shirley asked for help getting home","because she has trouble walking long distances."
39,13,4,"Sam read the newspaper","everyday at breakfast."
39,13,5,"Jenny went home to cook dinner","for herself after a long day."
39,13,6,"Katherine baby-sat the neighbor's kids","in order to buy her sister a present."
39,13,7,"Tom bottle fed the baby","because the baby was hungry."
39,13,8,"Bert changed the oil","in his car because it was low."
40,14,1,"Linda swatted at the flies","in hopes they would leave her alone."
40,14,2,"Helen crammed for the test","the previous night."
40,14,3,"Shirley asked for help getting home","to avoid walking in the rain."
40,14,4,"Sam read the newspaper","to find out who won the soccer game."
40,14,5,"Jenny went home to cook dinner","for him and his family."
40,14,6,"Katherine baby-sat the neighbor's kids","for a few hours last Thursday."
40,14,7,"Tom bottle fed the baby","after he got home from work."
40,14,8,"Bert changed the oil","of his car in the driveway."
41,14,1,"Linda swatted at the flies","quickly."
41,14,2,"Helen crammed for the test","she had the next day."
41,14,3,"Shirley asked for help getting home","from the subway."
41,14,4,"Sam read the newspaper","quietly."
41,14,5,"Jenny went home to cook dinner","for her family."
41,14,6,"Katherine baby-sat the neighbor's kids","for three hours."
41,14,7,"Tom bottle fed the baby","when it woke up from its nap."
41,14,8,"Bert changed the oil","in the car."
42,15,1,"Linda swatted at the flies","with her newspaper."
42,15,2,"Helen crammed for the test","three hours before the exam start time."
42,15,3,"Shirley asked for help getting home","by calling her bestfriend Justin on her phone."
42,15,4,"Sam read the newspaper","headline in utter disbelief."
42,15,5,"Jenny went home to cook dinner","for her and her seven cats."
42,15,6,"Katherine baby-sat the neighbor's kids","the same night as her prom."
42,15,7,"Tom bottle fed the baby","until the baby fell asleep in his arms."
42,15,8,"Bert changed the oil","of his pre-owned motorcycle."
43,15,1,"Linda swatted at the flies","in frustration"
43,15,2,"Helen crammed for the test","while sitting on her bed"
43,15,3,"Shirley asked for help getting home","from the party"
43,15,4,"Sam read the newspaper","as she drank a cold latte"
43,15,5,"Jenny went home to cook dinner","for her mom"
43,15,6,"Katherine baby-sat the neighbor's kids","for too long"
43,15,7,"Tom bottle fed the baby","by accident"
43,15,8,"Bert changed the oil","in the truck"
46,17,1,"Linda swatted at the flies","violently"
46,17,2,"Helen crammed for the test","diligently"
46,17,3,"Shirley asked for help getting home","safely"
46,17,4,"Sam read the newspaper","thoroughly"
46,17,5,"Jenny went home to cook dinner","rapidly"
46,17,6,"Katherine baby-sat the neighbor's kids","happily"
46,17,7,"Tom bottle fed the baby","calmly"
46,17,8,"Bert changed the oil","fast"
47,17,1,"Linda swatted at the flies","angrily"
47,17,2,"Helen crammed for the test","quickly"
47,17,3,"Shirley asked for help getting home","correctly"
47,17,4,"Sam read the newspaper","slowly"
47,17,5,"Jenny went home to cook dinner","happily"
47,17,6,"Katherine baby-sat the neighbor's kids","excitedly"
47,17,7,"Tom bottle fed the baby","carefully"
47,17,8,"Bert changed the oil","messily"
49,18,1,"Linda swatted at the flies","because she was irritated by them."
49,18,2,"Helen crammed for the test","since she didn't study over the weekend."
49,18,3,"Shirley asked for help getting home","because she didn't have a car."
49,18,4,"Sam read the newspaper","for his own enjoyment."
49,18,5,"Jenny went home to cook dinner","for herself and her family."
49,18,6,"Katherine baby-sat the neighbor's kids","because she needed money."
49,18,7,"Tom bottle fed the baby","to stop it from crying."
49,18,8,"Bert changed the oil","because the oil level was low."
50,18,1,"Linda swatted at the flies","to keep them away from her face."
50,18,2,"Helen crammed for the test","even though she studied for a week."
50,18,3,"Shirley asked for help getting home","after the baseball game."
50,18,4,"Sam read the newspaper","every morning with breakfast."
50,18,5,"Jenny went home to cook dinner","after she finished her work."
50,18,6,"Katherine baby-sat the neighbor's kids","every Wednesday night."
50,18,7,"Tom bottle fed the baby","before he put the baby to sleep."
50,18,8,"Bert changed the oil","in his car."
51,19,1,"Linda swatted at the flies","that landed on her food"
51,19,2,"Helen crammed for the test","the day of the exam"
51,19,3,"Shirley asked for help getting home","from the library"
51,19,4,"Sam read the newspaper","twice each week"
51,19,5,"Jenny went home to cook dinner","for her family"
51,19,6,"Katherine baby-sat the neighbor's kids","who also enjoyed her company"
51,19,7,"Tom bottle fed the baby","who seemed hungry"
51,19,8,"Bert changed the oil","in his motorcycle"
52,19,1,"Linda swatted at the flies","dismissively"
52,19,2,"Helen crammed for the test","anxiously"
52,19,3,"Shirley asked for help getting home",", hoping someone would help"
52,19,4,"Sam read the newspaper","comfortably"
52,19,5,"Jenny went home to cook dinner","happily"
52,19,6,"Katherine baby-sat the neighbor's kids","for the night, playing video games with oldest child."
52,19,7,"Tom bottle fed the baby","carefully"
52,19,8,"Bert changed the oil","in his car every day."
53,20,1,"Linda swatted at the flies"," with a flyswatter."
53,20,2,"Helen crammed for the test","all night long."
53,20,3,"Shirley asked for help getting home","from a friend."
53,20,4,"Sam read the newspaper","while he ate breakfast."
53,20,5,"Jenny went home to cook dinner","with her room-mate."
53,20,6,"Katherine baby-sat the neighbor's kids","over the weekend."
53,20,7,"Tom bottle fed the baby","when she started to cry."
53,20,8,"Bert changed the oil","in his car."
54,20,1,"Linda swatted at the flies","and the flies flew away."
54,20,2,"Helen crammed for the test",", regretting why she didn't start reviewing earlier."
54,20,3,"Shirley asked for help getting home","because she got lost."
54,20,4,"Sam read the newspaper","and found out the tragedy in Las Vegas"
54,20,5,"Jenny went home to cook dinner","for herself."
54,20,6,"Katherine baby-sat the neighbor's kids"," because the kids' parents were not at home."
54,20,7,"Tom bottle fed the baby",", and the baby fell asleep after being fed."
54,20,8,"Bert changed the oil","to the more healthy one."
56,21,1,"Linda swatted at the flies"," for 20 minutes before going inside/"
56,21,2,"Helen crammed for the test","and was increasingly nervous about the impending exam."
56,21,3,"Shirley asked for help getting home","from her appointment with the eye doctor."
56,21,4,"Sam read the newspaper","until his coffee was ready."
56,21,5,"Jenny went home to cook dinner",", even though she could barely cook."
56,21,6,"Katherine baby-sat the neighbor's kids","for 8 hours last night."
56,21,7,"Tom bottle fed the baby"," until the baby became sleepy."
56,21,8,"Bert changed the oil","on his tractor."
57,21,1,"Linda swatted at the flies","to get them away from her face."
57,21,2,"Helen crammed for the test","to do well tomorrow."
57,21,3,"Shirley asked for help getting home","because they were lost."
57,21,4,"Sam read the newspaper","to know what happened yesterday."
57,21,5,"Jenny went home to cook dinner","for her family."
57,21,6,"Katherine baby-sat the neighbor's kids","for money."
57,21,7,"Tom bottle fed the baby","milk."
57,21,8,"Bert changed the oil","in his car."
58,22,1,"Linda swatted at the flies","in front of her face"
58,22,2,"Helen crammed for the test","scheduled for the following day"
58,22,3,"Shirley asked for help getting home","from a doctor's appointment"
58,22,4,"Sam read the newspaper","alone in her kitchen"
58,22,5,"Jenny went home to cook dinner","for herself"
58,22,6,"Katherine baby-sat the neighbor's kids","so the parents could go to a movie"
58,22,7,"Tom bottle fed the baby","while his mother was at work"
58,22,8,"Bert changed the oil","in his garage"
59,22,1,"Linda swatted at the flies","angrily."
59,22,2,"Helen crammed for the test","biology"
59,22,3,"Shirley asked for help getting home","from the policeman for"
59,22,4,"Sam read the newspaper","loudly."
59,22,5,"Jenny went home to cook dinner","a scrumptious"
59,22,6,"Katherine baby-sat the neighbor's kids","green street"
59,22,7,"Tom bottle fed the baby","gently."
59,22,8,"Bert changed the oil","of my car."
60,23,1,"Linda swatted at the flies","to get them out the house."
60,23,2,"Helen crammed for the test","because she forgot to study three days in advance like she usually does."
60,23,3,"Shirley asked for help getting home","because she was unaware of her surroundings."
60,23,4,"Sam read the newspaper","even though he hated reading."
60,23,5,"Jenny went home to cook dinner","for her two lovely children."
60,23,6,"Katherine baby-sat the neighbor's kids","so she can make some extra, money to go to the party on Saturday."
60,23,7,"Tom bottle fed the baby","the milk."
60,23,8,"Bert changed the oil","on the car."
61,23,1,"Linda swatted at the flies","as they buzzed through the room."
61,23,2,"Helen crammed for the test","the night before the test."
61,23,3,"Shirley asked for help getting home","because her car broke down."
61,23,4,"Sam read the newspaper","to look for job openings."
61,23,5,"Jenny went home to cook dinner","for her family."
61,23,6,"Katherine baby-sat the neighbor's kids","as she need some extra cash to pay for the concert tickets."
61,23,7,"Tom bottle fed the baby","as there was no one else there to do it."
61,23,8,"Bert changed the oil","of his motorbike"
65,24,1,"Linda swatted at the flies","which were annoying."
65,24,2,"Helen crammed for the test","which she did well."
65,24,3,"Shirley asked for help getting home","in exchange for buying a lunch."
65,24,4,"Sam read the newspaper","which was about sports."
65,24,5,"Jenny went home to cook dinner","for her family."
65,24,6,"Katherine baby-sat the neighbor's kids","who are two and five year old."
65,24,7,"Tom bottle fed the baby","who was crying."
65,24,8,"Bert changed the oil","which was running out."
66,24,1,"Linda swatted at the flies","quietly"
66,24,2,"Helen crammed for the test","for 3 nights in a row"
66,24,3,"Shirley asked for help getting home","in midnight"
66,24,4,"Sam read the newspaper","to find that there was an accident nearby"
66,24,5,"Jenny went home to cook dinner"," for her family"
66,24,6,"Katherine baby-sat the neighbor's kids"," to earn extra money for her vacation"
66,24,7,"Tom bottle fed the baby","of his aunt this morning"
66,24,8,"Bert changed the oil","to get prepared for the long trip"
69,25,1,"Linda swatted at the flies","of henry viii"
69,25,2,"Helen crammed for the test","psychology"
69,25,3,"Shirley asked for help getting home","from a stranger"
69,25,4,"Sam read the newspaper","on sofa"
69,25,5,"Jenny went home to cook dinner","of traditional stle"
69,25,6,"Katherine baby-sat the neighbor's kids","to get payed"
69,25,7,"Tom bottle fed the baby","by himself"
69,25,8,"Bert changed the oil"," of his car"
70,25,1,"Linda swatted at the flies","angrily"
70,25,2,"Helen crammed for the test","so she is upset"
70,25,3,"Shirley asked for help getting home","because she was lost"
70,25,4,"Sam read the newspaper","in the morning"
70,25,5,"Jenny went home to cook dinner","every day"
70,25,6,"Katherine baby-sat the neighbor's kids","and she was excited"
70,25,7,"Tom bottle fed the baby","and he messed up"
70,25,8,"Bert changed the oil","but he didn't know why"
71,26,1,"Linda swatted at the flies","on the walls madly"
71,26,2,"Helen crammed for the test","anxiously"
71,26,3,"Shirley asked for help getting home","from a cashier in a convenience store"
71,26,4,"Sam read the newspaper","while sipping his coffee"
71,26,5,"Jenny went home to cook dinner","after a long day at work"
71,26,6,"Katherine baby-sat the neighbor's kids","and made sure they went to bed early"
71,26,7,"Tom bottle fed the baby","lovingly"
71,26,8,"Bert changed the oil","with ease"
72,26,1,"Linda swatted at the flies"," to get them out of her face."
72,26,2,"Helen crammed for the test","so she could get an A."
72,26,3,"Shirley asked for help getting home","because she did not know the area well."
72,26,4,"Sam read the newspaper"," on the toilet."
72,26,5,"Jenny went home to cook dinner","for her family."
72,26,6,"Katherine baby-sat the neighbor's kids","so she could earn money."
72,26,7,"Tom bottle fed the baby","because his wife was sleeping."
72,26,8,"Bert changed the oil"," in his car."
73,27,1,"Linda swatted at the flies","with a newspaper."
73,27,2,"Helen crammed for the test",", hoping it would help raise her grade."
73,27,3,"Shirley asked for help getting home","from the party."
73,27,4,"Sam read the newspaper","and drank their coffee."
73,27,5,"Jenny went home to cook dinner","for her housemates."
73,27,6,"Katherine baby-sat the neighbor's kids","on Friday."
73,27,7,"Tom bottle fed the baby","and swayed back and forth."
73,27,8,"Bert changed the oil","in his car."
74,27,1,"Linda swatted at the flies","that appeared when she picked up a fruit."
74,27,2,"Helen crammed for the test","and passed with the score of a B."
74,27,3,"Shirley asked for help getting home",",and got home safely."
74,27,4,"Sam read the newspaper","and took interest in an article about shelter dogs."
74,27,5,"Jenny went home to cook dinner","but realized she forgot an ingredient so she had to compromise."
74,27,6,"Katherine baby-sat the neighbor's kids","and had a great time."
74,27,7,"Tom bottle fed the baby","and the baby stopped crying."
74,27,8,"Bert changed the oil","but the engine light was still on."
75,28,1,"Linda swatted at the flies","because they frustrated her."
75,28,2,"Helen crammed for the test","because she was unsure of the material."
75,28,3,"Shirley asked for help getting home","because she wasn't feeling well."
75,28,4,"Sam read the newspaper","at breakfast every morning."
75,28,5,"Jenny went home to cook dinner","for herself after work."
75,28,6,"Katherine baby-sat the neighbor's kids","after school."
75,28,7,"Tom bottle fed the baby","attentively."
75,28,8,"Bert changed the oil","in his car."
76,28,1,"Linda swatted at the flies","and fell."
76,28,2,"Helen crammed for the test","and felt tired."
76,28,3,"Shirley asked for help getting home","and got lost."
76,28,4,"Sam read the newspaper","during the morning."
76,28,5,"Jenny went home to cook dinner","for her little sister."
76,28,6,"Katherine baby-sat the neighbor's kids","during the evening."
76,28,7,"Tom bottle fed the baby","with warm milk."
76,28,8,"Bert changed the oil","of the car's engine."
77,29,1,"Linda swatted at the flies","that were swarming over her cake."
77,29,2,"Helen crammed for the test","that she had in an hour."
77,29,3,"Shirley asked for help getting home",", as she didn't recognize her surroundings."
77,29,4,"Sam read the newspaper","as Helen, next to him, crammed for her upcoming test."
77,29,5,"Jenny went home to cook dinner",", and she hoped she would have time to finish before her friends arrived."
77,29,6,"Katherine baby-sat the neighbor's kids",", though she had sworn she never would again."
77,29,7,"Tom bottle fed the baby","because he did not have boobs of his own."
77,29,8,"Bert changed the oil","in his brother's car."
78,29,1,"Linda swatted at the flies","buzzing around her head."
78,29,2,"Helen crammed for the test","she had tomorrow."
78,29,3,"Shirley asked for help getting home","from her friend at the party."
78,29,4,"Sam read the newspaper","every morning."
78,29,5,"Jenny went home to cook dinner","every night for her family."
78,29,6,"Katherine baby-sat the neighbor's kids","on every other Tuesday."
78,29,7,"Tom bottle fed the baby","carefully."
78,29,8,"Bert changed the oil","routinely."
79,30,1,"Linda swatted at the flies","in order to get them out of the kitchen."
79,30,2,"Helen crammed for the test","because she waited until the last minute to study."
79,30,3,"Shirley asked for help getting home","because she did not understand the bus schedule."
79,30,4,"Sam read the newspaper","to catch up on current events."
79,30,5,"Jenny went home to cook dinner","for her family."
79,30,6,"Katherine baby-sat the neighbor's kids","because she enjoys helping out."
79,30,7,"Tom bottle fed the baby","3 times a day."
79,30,8,"Bert changed the oil","because his car was not functioning properly."
80,30,1,"Linda swatted at the flies","intensively"
80,30,2,"Helen crammed for the test","one night before the test day"
80,30,3,"Shirley asked for help getting home","from California"
80,30,4,"Sam read the newspaper","and fall asleep"
80,30,5,"Jenny went home to cook dinner","and she loved it"
80,30,6,"Katherine baby-sat the neighbor's kids","for two days in a row"
80,30,7,"Tom bottle fed the baby","when the baby fall asleep"
80,30,8,"Bert changed the oil","of her car"
82,31,1,"Linda swatted at the flies","with a newspaper."
82,31,1,"Linda swatted at the flies","so she could eat her pie."
82,31,2,"Helen crammed for the test","the night before."
82,31,2,"Helen crammed for the test","for 5 hours straight."
82,31,3,"Shirley asked for help getting home","from a party."
82,31,3,"Shirley asked for help getting home","from school."
82,31,4,"Sam read the newspaper","every morning."
82,31,4,"Sam read the newspaper","with his mom."
82,31,5,"Jenny went home to cook dinner","after a long day."
82,31,5,"Jenny went home to cook dinner","after hanging out with some friends."
82,31,6,"Katherine baby-sat the neighbor's kids","on a Saturday night."
82,31,6,"Katherine baby-sat the neighbor's kids","every other day."
82,31,7,"Tom bottle fed the baby","when his mother was busy."
82,31,7,"Tom bottle fed the baby","until it was full."
82,31,8,"Bert changed the oil","of the car."
82,31,8,"Bert changed the oil","of the car."
